time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2021-03-04 20:15:00",0,0,0,285564.53,285589.31,24.77,16419.78,2460.41,0.04,8154.98,300829.81,301238.34,408.55,13.93,-0.77,13.95,1.00,488.14,281.71,18.56,60.01,14.89,-0.74,14.91,28.67,0.52,28.67,-15.96,-1.36,15.96,110946.52,119923.55,54719.26,4.19,2.44,18.14,6257.32,7598.94,2563.52,212.80,53.58,2194.03,0.01,0.01,0.01,3935.20,3475.68,744.10,116412.23,126364.72,56434.93,214.68,55.44,2195.71,4.37,5.10,4.33,-0.30,-0.27,-0.18,4.42,5.16,4.38,1.00,1.00,1.00,485.28,490.44,488.70,280.31,281.64,283.18,17.81,20.29,17.58
"2021-03-04 20:30:00",0,0,0,285567.44,285592.22,24.77,16419.78,2460.41,0.04,8155.10,300832.69,301241.22,408.55,10.61,-0.45,9.21,1.00,489.07,282.24,13.88,60.02,14.25,-0.70,14.26,28.67,0.52,28.67,-15.96,-1.36,15.96,110947.41,119924.64,54720.16,4.19,2.44,18.14,6257.32,7598.94,2563.52,212.80,53.58,2194.03,0.01,0.01,0.01,3935.25,3475.73,744.12,116413.12,126365.80,56435.84,214.68,55.44,2195.71,3.32,3.79,3.51,-0.19,-0.18,-0.08,3.32,3.80,3.51,1.00,1.00,1.00,486.01,491.23,489.96,280.90,282.03,283.80,13.16,14.76,13.71
"2021-03-04 20:45:00",0,0,0,285569.81,285594.59,24.77,16419.78,2460.41,0.04,8155.19,300835.06,301243.59,408.55,14.74,-0.80,14.76,1.00,488.37,281.84,19.32,60.02,10.27,-0.42,10.28,28.67,0.52,28.67,-15.96,-1.36,15.96,110948.15,119925.52,54720.92,4.19,2.44,18.14,6257.32,7598.94,2563.52,212.80,53.58,2194.03,0.01,0.01,0.01,3935.29,3475.77,744.13,116413.86,126366.69,56436.59,214.68,55.44,2195.71,4.53,5.55,4.66,-0.33,-0.29,-0.19,4.55,5.55,4.66,1.00,1.00,1.00,485.56,490.39,489.16,280.35,281.85,283.33,18.16,21.34,18.47
"2021-03-04 21:00:00",0,0,0,285572.03,285596.81,24.77,16419.78,2460.41,0.04,8155.27,300837.31,301245.84,408.55,6.28,-0.08,6.29,1.00,487.49,281.33,8.09,60.01,10.29,-0.40,10.30,28.67,0.52,28.67,-15.96,-1.36,15.96,110948.84,119926.36,54721.61,4.19,2.44,18.14,6257.32,7598.94,2563.52,212.80,53.58,2194.03,0.01,0.01,0.01,3935.33,3475.80,744.14,116414.55,126367.52,56437.29,214.68,55.44,2195.71,1.96,2.35,1.98,-0.08,-0.04,0.04,1.96,2.35,1.98,1.00,1.00,1.00,485.15,489.86,487.45,279.96,281.38,282.65,7.65,8.98,7.65
"2021-03-04 21:15:00",0,0,0,285573.75,285598.53,24.77,16419.79,2460.41,0.04,8155.30,300839.03,301247.56,408.55,8.24,-0.17,8.24,1.00,488.05,281.66,10.65,60.02,7.13,-0.15,7.13,28.67,0.52,28.67,-15.96,-1.36,15.96,110949.39,119927.02,54722.17,4.19,2.44,18.14,6257.32,7598.94,2563.53,212.80,53.58,2194.03,0.01,0.01,0.01,3935.35,3475.82,744.14,116415.09,126368.17,56437.84,214.68,55.44,2195.71,2.56,3.08,2.60,-0.10,-0.12,0.02,2.56,3.08,2.60,1.00,1.00,1.00,484.93,490.03,489.20,280.42,281.44,283.11,9.69,12.47,9.79
"2021-03-04 21:30:00",0,0,0,285575.88,285600.66,24.77,16419.79,2460.41,0.04,8155.38,300841.16,301249.69,408.55,9.19,-0.43,9.20,1.00,488.03,281.64,12.35,60.01,7.88,-0.19,7.88,28.67,0.52,28.67,-15.96,-1.36,15.96,110950.04,119927.80,54722.83,4.19,2.44,18.14,6257.32,7598.94,2563.53,212.80,53.58,2194.03,0.01,0.01,0.01,3935.38,3475.85,744.14,116415.75,126368.97,56438.50,214.68,55.44,2195.71,2.85,3.47,2.87,-0.18,-0.16,-0.09,2.86,3.48,2.87,1.00,1.00,1.00,485.54,489.62,488.92,280.37,281.67,282.89,11.62,13.72,11.72
"2021-03-04 21:45:00",0,0,0,285577.50,285602.28,24.77,16419.80,2460.41,0.04,8155.41,300842.78,301251.31,408.55,5.27,-0.03,5.27,1.00,487.17,281.15,6.95,60.01,8.20,-0.29,8.20,28.67,0.52,28.67,-15.96,-1.36,15.96,110950.54,119928.41,54723.34,4.19,2.44,18.14,6257.32,7598.94,2563.54,212.80,53.58,2194.03,0.01,0.01,0.01,3935.40,3475.87,744.14,116416.25,126369.57,56439.01,214.68,55.44,2195.71,1.64,1.98,1.65,-0.04,-0.01,0.03,1.64,1.98,1.65,1.00,1.00,1.00,484.17,489.02,488.32,279.81,280.95,282.70,6.54,7.70,6.62
"2021-03-04 22:00:00",0,0,0,285578.63,285603.41,24.77,16419.81,2460.41,0.04,8155.43,300843.91,301252.44,408.55,3.62,0.06,3.62,1.00,486.77,280.92,5.21,60.01,5.54,-0.04,5.54,28.67,0.52,28.67,-15.96,-1.36,15.96,110950.90,119928.84,54723.70,4.19,2.44,18.14,6257.32,7598.94,2563.55,212.80,53.58,2194.03,0.01,0.01,0.01,3935.41,3475.87,744.14,116416.61,126370.00,56439.37,214.68,55.44,2195.71,1.13,1.36,1.14,-0.02,0.02,0.07,1.13,1.36,1.14,1.00,1.00,1.00,484.00,488.79,487.51,279.69,280.75,282.31,4.92,5.73,4.98
"2021-03-04 22:15:00",0,0,0,285579.44,285604.22,24.77,16419.84,2460.41,0.04,8155.43,300844.69,301253.22,408.55,2.88,0.11,2.88,1.00,483.09,278.80,4.47,60.02,3.83,0.05,3.83,28.67,0.52,28.67,-15.96,-1.36,15.96,110951.14,119929.13,54723.94,4.19,2.44,18.14,6257.32,7598.95,2563.57,212.80,53.58,2194.03,0.01,0.01,0.01,3935.42,3475.87,744.14,116416.85,126370.30,56439.61,214.68,55.44,2195.71,0.89,1.07,0.90,-0.01,0.05,0.08,0.89,1.08,0.91,1.00,1.00,1.00,480.45,485.11,483.72,277.47,278.67,280.25,4.22,4.86,4.33
"2021-03-04 22:30:00",0,0,0,285580.13,285604.91,24.77,16419.87,2460.41,0.04,8155.43,300845.41,301253.94,408.55,2.64,0.13,2.65,1.00,483.31,278.92,4.23,60.02,2.93,0.10,2.93,28.67,0.52,28.67,-15.96,-1.36,15.96,110951.36,119929.39,54724.16,4.19,2.44,18.14,6257.32,7598.96,2563.60,212.80,53.58,2194.03,0.01,0.01,0.01,3935.42,3475.87,744.14,116417.07,126370.55,56439.83,214.68,55.44,2195.71,0.82,0.99,0.83,0.00,0.04,0.09,0.82,0.99,0.83,1.00,1.00,0.99,480.60,485.04,484.30,277.92,278.62,280.23,4.00,4.61,4.06
"2021-03-04 22:45:00",0,0,0,285580.97,285605.75,24.77,16419.90,2460.41,0.04,8155.44,300846.25,301254.78,408.55,4.82,0.00,4.82,1.00,483.48,279.02,6.49,60.02,2.68,0.12,2.68,28.67,0.52,28.67,-15.96,-1.36,15.96,110951.63,119929.70,54724.42,4.19,2.44,18.14,6257.32,7598.96,2563.62,212.80,53.58,2194.03,0.01,0.01,0.01,3935.43,3475.87,744.14,116417.34,126370.86,56440.09,214.68,55.44,2195.71,1.52,1.80,1.49,-0.05,0.00,0.05,1.52,1.80,1.49,1.00,1.00,1.00,480.74,485.47,484.24,277.67,278.90,280.50,6.20,7.16,6.11
"2021-03-04 23:00:00",0,0,0,285582.63,285607.41,24.77,16419.91,2460.41,0.04,8155.48,300847.91,301256.44,408.55,6.08,-0.06,6.08,1.00,484.20,279.43,7.92,59.96,5.12,-0.02,5.12,28.67,0.52,28.67,-15.96,-1.36,15.96,110952.15,119930.33,54724.94,4.19,2.44,18.14,6257.32,7598.96,2563.63,212.80,53.58,2194.03,0.01,0.01,0.01,3935.45,3475.88,744.15,116417.85,126371.49,56440.61,214.68,55.44,2195.71,1.89,2.27,1.92,-0.06,-0.03,0.04,1.89,2.27,1.92,1.00,1.00,1.00,481.71,486.24,484.64,278.21,279.41,280.67,7.46,8.77,7.52
"2021-03-04 23:15:00",0,0,0,285584.25,285609.03,24.77,16419.92,2460.41,0.04,8155.52,300849.53,301258.06,408.55,3.65,0.07,3.65,1.00,484.54,279.63,5.24,59.91,5.96,-0.07,5.96,28.67,0.52,28.67,-15.96,-1.36,15.96,110952.66,119930.95,54725.45,4.19,2.44,18.14,6257.32,7598.96,2563.64,212.80,53.58,2194.03,0.01,0.01,0.01,3935.47,3475.90,744.15,116418.37,126372.11,56441.13,214.68,55.44,2195.71,1.13,1.37,1.15,-0.02,0.01,0.07,1.13,1.37,1.15,1.00,1.00,1.00,481.86,486.59,485.17,278.41,279.49,280.99,4.94,5.75,5.02
"2021-03-04 23:30:00",0,0,0,285586.63,285611.41,24.77,16419.92,2460.41,0.04,8155.60,300851.91,301260.44,408.55,7.79,-0.13,7.79,1.00,484.42,279.56,10.12,59.97,7.78,-0.21,7.78,28.67,0.52,28.67,-15.96,-1.36,15.96,110953.39,119931.84,54726.18,4.19,2.44,18.14,6257.32,7598.96,2563.64,212.80,53.58,2194.03,0.01,0.01,0.01,3935.51,3475.93,744.16,116419.10,126373.01,56441.85,214.68,55.44,2195.71,2.50,2.97,2.32,-0.09,-0.06,0.02,2.50,2.97,2.32,1.00,1.00,1.00,481.81,486.40,485.05,278.33,279.52,280.85,9.55,11.92,8.89
"2021-03-04 23:45:00",0,0,0,285588.38,285613.16,24.77,16419.93,2460.41,0.04,8155.65,300853.66,301262.19,408.55,3.81,0.06,3.81,1.00,483.23,278.87,5.35,60.01,8.70,-0.27,8.72,28.67,0.52,28.67,-15.96,-1.36,15.96,110953.92,119932.51,54726.73,4.19,2.44,18.14,6257.32,7598.97,2563.65,212.80,53.58,2194.03,0.01,0.01,0.01,3935.53,3475.95,744.16,116419.64,126373.68,56442.40,214.68,55.44,2195.71,1.16,1.44,1.21,-0.03,0.02,0.07,1.16,1.44,1.21,1.00,1.00,1.00,480.53,485.33,483.82,277.63,278.65,280.34,4.99,5.92,5.15
"2021-03-05 00:00:00",0,0,0,285589.78,285614.56,24.77,16419.94,2460.41,0.04,8155.68,300855.06,301263.59,408.55,8.38,-0.33,8.39,1.00,483.21,278.86,11.56,60.01,5.82,-0.07,5.82,28.67,0.52,28.67,-15.96,-1.36,15.96,110954.36,119933.05,54727.17,4.19,2.44,18.14,6257.32,7598.97,2563.66,212.80,53.58,2194.03,0.01,0.01,0.01,3935.55,3475.97,744.17,116420.08,126374.21,56442.85,214.68,55.44,2195.71,2.58,3.15,2.65,-0.17,-0.15,-0.01,2.59,3.15,2.65,1.00,1.00,1.00,480.55,485.11,483.97,277.69,278.70,280.21,10.88,12.75,11.05
"2021-03-05 00:15:00",0,0,0,285590.91,285615.69,24.77,16419.96,2460.41,0.04,8155.70,300856.19,301264.72,408.55,3.07,0.10,3.07,1.00,483.27,278.90,4.59,59.86,7.00,-0.17,7.01,28.67,0.52,28.67,-15.96,-1.36,15.96,110954.71,119933.47,54727.53,4.19,2.44,18.14,6257.32,7598.97,2563.67,212.80,53.58,2194.03,0.01,0.01,0.01,3935.56,3475.97,744.17,116420.42,126374.64,56443.20,214.68,55.44,2195.71,0.91,1.15,0.97,-0.01,0.03,0.08,0.91,1.15,0.98,1.00,1.00,1.00,480.75,485.19,483.88,277.80,278.72,280.18,4.25,5.05,4.47
"2021-03-05 00:30:00",0,0,0,285591.75,285616.53,24.77,16419.99,2460.41,0.04,8155.71,300857.06,301265.59,408.55,3.38,0.08,3.38,1.00,483.86,279.24,4.87,60.02,2.93,0.10,2.93,28.67,0.52,28.67,-15.96,-1.36,15.96,110954.98,119933.79,54727.79,4.19,2.44,18.14,6257.32,7598.98,2563.69,212.80,53.58,2194.03,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.69,126374.95,56443.46,214.68,55.44,2195.71,1.04,1.28,1.06,-0.02,0.02,0.08,1.04,1.28,1.06,1.00,1.00,1.00,481.15,485.61,484.81,278.25,278.96,280.50,4.59,5.37,4.66
"2021-03-05 00:45:00",0,0,0,285592.06,285616.84,24.77,16420.04,2460.41,0.04,8155.71,300857.38,301265.91,408.55,0.51,0.26,0.57,0.89,483.01,278.75,2.46,60.02,2.97,0.11,2.98,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.07,119933.90,54727.89,4.19,2.44,18.14,6257.32,7599.00,2563.72,212.80,53.58,2194.03,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.78,126375.07,56443.57,214.68,55.44,2195.71,0.16,0.19,0.16,0.04,0.09,0.13,0.16,0.21,0.21,0.97,0.91,0.77,479.94,484.82,484.27,277.78,278.24,280.22,2.28,2.62,2.49
"2021-03-05 01:00:00",0,0,0,285592.16,285616.94,24.77,16420.12,2460.41,0.04,8155.71,300857.47,301266.00,408.55,0.12,0.26,0.29,0.40,481.84,278.08,2.28,59.98,0.68,0.26,0.74,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.09,119933.94,54727.91,4.19,2.44,18.14,6257.33,7599.02,2563.76,212.80,53.58,2194.03,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.80,126375.11,56443.61,214.68,55.44,2195.71,0.03,0.05,0.03,0.03,0.10,0.14,0.05,0.11,0.14,0.74,0.45,0.24,478.85,483.40,483.28,277.29,277.44,279.49,2.10,2.41,2.32
"2021-03-05 01:15:00",0,0,0,285592.16,285616.94,24.77,16420.20,2460.42,0.04,8155.71,300857.53,301266.09,408.55,0.03,0.42,0.42,0.06,481.62,277.95,0.53,60.02,0.16,0.30,0.35,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.09,119933.94,54727.91,4.19,2.44,18.14,6257.36,7599.05,2563.80,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.83,126375.14,56443.65,214.69,55.44,2195.71,0.00,0.01,0.00,0.11,0.15,0.16,0.11,0.15,0.16,0.02,0.04,0.02,478.82,483.77,482.26,276.91,277.57,279.35,0.38,0.59,0.62
"2021-03-05 01:30:00",0,0,0,285592.16,285616.94,24.77,16420.31,2460.42,0.04,8155.71,300857.63,301266.19,408.55,0.03,0.42,0.42,0.06,480.91,277.54,0.54,59.99,0.02,0.41,0.41,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.09,119933.95,54727.91,4.19,2.44,18.14,6257.38,7599.09,2563.84,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.85,126375.18,56443.69,214.69,55.44,2195.71,0.01,0.01,0.01,0.09,0.16,0.17,0.10,0.16,0.17,0.08,0.03,0.07,477.93,483.07,481.74,276.59,276.94,279.10,0.37,0.60,0.64
"2021-03-05 01:45:00",0,0,0,285592.16,285616.94,24.77,16420.41,2460.42,0.04,8155.71,300857.72,301266.28,408.55,0.02,0.41,0.41,0.04,478.30,276.03,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.09,119933.95,54727.91,4.19,2.44,18.14,6257.41,7599.13,2563.88,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.88,126375.21,56443.73,214.69,55.44,2195.71,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.05,0.05,0.03,474.97,480.34,479.60,275.05,275.44,277.61,0.39,0.57,0.61
"2021-03-05 02:00:00",0,0,0,285592.16,285616.94,24.77,16420.52,2460.42,0.04,8155.71,300857.84,301266.41,408.55,0.02,0.42,0.42,0.05,482.03,278.19,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.09,119933.95,54727.92,4.19,2.44,18.14,6257.43,7599.17,2563.92,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.91,126375.26,56443.77,214.69,55.44,2195.71,0.01,0.01,0.01,0.10,0.14,0.17,0.10,0.14,0.17,0.05,0.05,0.05,478.74,484.06,483.30,277.37,277.56,279.63,0.38,0.55,0.63
"2021-03-05 02:15:00",0,0,0,285592.16,285616.94,24.77,16420.62,2460.42,0.04,8155.71,300857.94,301266.50,408.55,0.02,0.42,0.42,0.04,481.23,277.73,0.52,59.93,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.09,119933.95,54727.92,4.19,2.44,18.14,6257.46,7599.20,2563.96,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.93,126375.30,56443.81,214.69,55.44,2195.71,0.00,0.01,0.01,0.10,0.15,0.16,0.10,0.15,0.16,0.04,0.05,0.03,477.97,483.36,482.37,276.66,277.24,279.28,0.39,0.57,0.60
"2021-03-05 02:30:00",0,0,0,285592.16,285616.94,24.77,16420.72,2460.42,0.04,8155.71,300858.03,301266.59,408.55,0.02,0.42,0.42,0.06,482.56,278.49,0.53,60.05,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.09,119933.95,54727.92,4.19,2.44,18.14,6257.48,7599.24,2564.00,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.96,126375.34,56443.85,214.69,55.44,2195.71,0.01,0.01,0.01,0.10,0.16,0.17,0.10,0.16,0.17,0.08,0.06,0.04,479.41,484.86,483.41,277.34,278.03,280.11,0.38,0.58,0.61
"2021-03-05 02:45:00",0,0,0,285592.19,285616.97,24.77,16420.83,2460.42,0.04,8155.71,300858.13,301266.69,408.55,0.02,0.43,0.43,0.04,482.44,278.42,0.53,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.10,119933.95,54727.92,4.19,2.44,18.14,6257.51,7599.28,2564.04,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116420.98,126375.37,56443.89,214.69,55.44,2195.72,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.04,0.06,0.01,479.30,484.15,483.86,277.42,277.83,280.01,0.41,0.59,0.59
"2021-03-05 03:00:00",0,0,0,285592.19,285616.97,24.77,16420.93,2460.42,0.04,8155.71,300858.28,301266.84,408.55,0.02,0.42,0.42,0.05,482.94,278.71,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.10,119933.95,54727.92,4.19,2.44,18.14,6257.54,7599.32,2564.08,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116421.01,126375.41,56443.93,214.69,55.44,2195.72,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.06,0.05,0.04,479.44,485.25,484.13,277.73,278.14,280.26,0.38,0.55,0.62
"2021-03-05 03:15:00",0,0,0,285592.19,285616.97,24.77,16421.03,2460.42,0.04,8155.71,300858.38,301266.94,408.55,0.01,0.42,0.42,0.02,483.09,278.80,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.10,119933.95,54727.92,4.19,2.44,18.14,6257.56,7599.35,2564.12,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116421.04,126375.45,56443.97,214.69,55.44,2195.72,0.00,0.01,0.00,0.11,0.16,0.16,0.11,0.16,0.16,0.05,0.06,0.02,479.72,485.09,483.50,277.29,278.36,280.19,0.39,0.59,0.59
"2021-03-05 03:30:00",0,0,0,285592.19,285616.97,24.77,16421.14,2460.43,0.04,8155.71,300858.47,301267.03,408.55,0.03,0.41,0.42,0.07,482.75,278.60,0.52,60.01,0.02,0.42,0.42,28.67,0.52,28.67,-15.96,-1.36,15.96,110955.10,119933.96,54727.93,4.19,2.44,18.14,6257.59,7599.39,2564.16,212.80,53.58,2194.04,0.01,0.01,0.01,3935.57,3475.97,744.17,116421.06,126375.48,56444.01,214.69,55.44,2195.72,0.01,0.01,0.01,0.10,0.15,0.17,0.10,0.15,0.17,0.10,0.07,0.05,479.97,485.08,483.20,277.45,278.33,280.02,0.38,0.57,0.61
